QueryId,DocumentId
2,326
2,370
2,334
2,349
2,211
2,308
2,359
2,304
2,407
2,395
3,316
3,349
3,326
3,211
3,121
3,47
3,334
3,175
3,308
3,343
4,211
4,326
4,334
4,370
4,349
4,308
4,359
4,407
4,304
4,395
5,211
5,349
5,326
5,334
5,407
5,370
5,308
5,252
5,395
5,12
6,326
6,308
6,211
6,349
6,334
6,257
6,324
6,323
6,407
6,268
7,384
7,49
7,156
7,421
7,406
7,87
7,169
7,287
7,294
7,153
8,156
8,339
8,358
8,155
8,61
8,212
8,303
8,269
8,47
8,242
9,156
9,339
9,358
9,155
9,61
9,269
9,238
9,242
9,303
9,294
14,121
14,343
14,316
14,279
14,47
14,107
14,294
14,415
14,32
14,175
17,156
17,303
17,155
17,358
17,339
17,61
17,242
17,269
17,68
17,391
20,121
20,294
20,343
20,100
20,292
20,47
20,295
20,7
20,148
20,387
22,356
22,388
22,11
22,319
22,326
22,41
22,142
22,285
22,135
22,25
23,294
23,47
23,156
23,79
23,343
23,159
23,121
23,411
23,292
23,382
27,47
27,156
27,121
27,294
27,272
27,32
27,202
27,343
27,290
27,306
28,277
28,360
28,394
28,307
28,121
28,81
28,156
28,391
28,377
28,390
29,192
29,121
29,329
29,341
29,156
29,158
29,47
29,294
29,115
29,157
31,47
31,343
31,156
31,377
31,121
31,39
31,303
31,327
31,294
31,165
36,121
36,211
36,382
36,359
36,370
36,200
36,145
36,326
36,367
36,70
38,47
38,48
38,294
38,202
38,89
38,174
38,333
38,326
38,272
38,53
39,360
39,394
39,277
39,189
39,173
39,219
39,265
39,255
39,22
39,73
42,47
42,1
42,53
42,54
42,69
42,157
42,284
42,215
42,89
42,228
43,290
43,367
43,329
43,279
43,341
43,113
43,306
43,404
43,38
43,295
45,47
45,294
45,156
45,271
45,32
45,253
45,261
45,20
45,343
45,121
46,47
46,202
46,69
46,54
46,284
46,1
46,215
46,20
46,156
46,53
53,295
53,306
53,290
53,367
53,279
53,329
53,113
53,402
53,343
53,1
54,343
54,295
54,306
54,47
54,290
54,38
54,315
54,79
54,121
54,135
55,89
55,47
55,1
55,402
55,382
55,157
55,228
55,135
55,38
55,247
58,38
58,89
58,1
58,157
58,135
58,402
58,23
58,247
58,254
58,228
60,295
60,306
60,38
60,315
60,79
60,47
60,56
60,335
60,176
60,274
63,121
63,377
63,159
63,100
63,115
63,86
63,139
63,194
63,309
63,210
64,328
64,322
64,271
64,371
64,243
64,294
64,7
64,156
64,253
64,20
67,7
67,63
67,346
67,184
67,92
67,371
67,328
67,420
67,46
67,397
68,343
68,290
68,156
68,307
68,289
68,279
68,7
68,352
68,275
68,155
69,377
69,121
69,159
69,115
69,70
69,100
69,386
69,194
69,139
69,309
70,226
70,121
70,264
70,343
70,326
70,47
70,140
70,370
70,294
70,100
71,121
71,117
71,47
71,343
71,326
71,258
71,384
71,334
71,221
71,295
72,305
72,331
72,326
72,338
72,354
72,156
72,294
72,196
72,121
72,211
76,230
76,121
76,338
76,227
76,156
76,236
76,100
76,79
76,107
76,349
78,408
78,258
78,107
78,121
78,156
78,241
78,47
78,117
78,167
78,358
80,343
80,305
80,296
80,47
80,307
80,382
80,279
80,275
80,280
80,107
81,343
81,290
81,307
81,47
81,289
81,156
81,378
81,121
81,279
81,296
82,343
82,290
82,296
82,307
82,280
82,121
82,289
82,411
82,306
82,315
